Strategy,Total Output,End WIP,Avg Cycle Time,Strategy Label
original,54,40,14.11,Base Game
original,51,52,15.87,Base Game
original,58,44,13.64,Base Game
original,56,43,15.05,Base Game
original,54,62,14.33,Base Game
original,45,66,17.56,Base Game
original,51,49,15.0,Base Game
original,52,65,14.81,Base Game
original,59,42,13.74,Base Game
original,56,51,15.3,Base Game
original,53,39,14.06,Base Game
original,53,44,15.82,Base Game
original,52,65,16.12,Base Game
original,49,55,16.46,Base Game
original,59,46,15.65,Base Game
original,53,69,15.59,Base Game
original,53,54,15.12,Base Game
original,50,37,13.64,Base Game
original,53,63,15.47,Base Game
original,50,53,15.29,Base Game
original,48,55,16.67,Base Game
original,51,46,14.67,Base Game
original,53,51,14.41,Base Game
original,53,58,16.12,Base Game
original,52,61,14.31,Base Game
original,49,61,16.77,Base Game
original,51,52,16.47,Base Game
original,47,57,16.73,Base Game
original,53,59,15.53,Base Game
original,53,53,14.0,Base Game
original,51,52,16.27,Base Game
original,58,47,16.27,Base Game
original,53,48,14.24,Base Game
original,55,52,13.63,Base Game
original,49,53,16.69,Base Game
original,49,51,16.62,Base Game
original,56,45,15.15,Base Game
original,54,51,15.11,Base Game
original,50,59,17.07,Base Game
original,56,41,13.45,Base Game
original,49,46,13.92,Base Game
original,56,46,15.35,Base Game
original,50,57,15.14,Base Game
original,43,47,17.14,Base Game
original,50,54,14.93,Base Game
original,52,56,13.56,Base Game
original,50,51,15.5,Base Game
original,51,65,16.2,Base Game
original,52,51,14.69,Base Game
original,53,44,13.24,Base Game
original,53,56,15.71,Base Game
original,56,57,12.8,Base Game
original,54,61,14.5,Base Game
original,56,51,14.3,Base Game
original,48,66,16.67,Base Game
original,58,43,13.18,Base Game
original,54,58,13.94,Base Game
original,50,47,18.21,Base Game
original,50,54,15.36,Base Game
original,55,49,13.89,Base Game
original,53,47,15.25,Base Game
original,56,41,14.6,Base Game
original,46,52,16.5,Base Game
original,50,51,15.0,Base Game
original,52,53,15.25,Base Game
original,55,41,13.47,Base Game
original,56,60,15.1,Base Game
original,56,43,13.6,Base Game
original,52,64,15.69,Base Game
original,49,65,15.0,Base Game
original,51,54,14.67,Base Game
original,48,45,17.67,Base Game
original,53,43,15.06,Base Game
original,58,44,15.68,Base Game
original,56,41,14.85,Base Game
original,51,54,14.93,Base Game
original,55,63,14.63,Base Game
original,47,51,16.91,Base Game
original,58,50,14.64,Base Game
original,51,43,16.0,Base Game
original,54,62,15.83,Base Game
original,50,51,14.86,Base Game
original,50,47,15.14,Base Game
original,56,60,15.25,Base Game
original,56,53,13.85,Base Game
original,53,39,16.0,Base Game
original,53,46,13.76,Base Game
original,57,47,15.05,Base Game
original,53,45,14.12,Base Game
original,52,59,15.0,Base Game
original,56,48,15.45,Base Game
