SimID;Strategy;Strategy Label;Total Output;End WIP;Avg Cycle Time
396;original;Base Game;53;48;14,88
397;original;Base Game;51;60;16,4
398;original;Base Game;55;59;14,11
399;original;Base Game;51;57;14,6
400;original;Base Game;56;58;14,7
401;original;Base Game;47;68;16,45
402;original;Base Game;49;56;14,85
403;original;Base Game;54;65;16
404;original;Base Game;53;47;16,06
405;original;Base Game;47;60;17,91
406;original;Base Game;53;54;14,12
407;original;Base Game;53;59;15,53
408;original;Base Game;53;46;13,24
409;original;Base Game;55;47;14,95
410;original;Base Game;54;43;14,72
411;original;Base Game;50;61;17,14
412;original;Base Game;53;56;13,94
413;original;Base Game;56;53;14,6
414;original;Base Game;52;44;15,56
415;original;Base Game;54;60;12,56
416;original;Base Game;55;50;16,16
417;original;Base Game;54;55;15,83
418;original;Base Game;52;49;15
419;original;Base Game;54;61;15,67
420;original;Base Game;51;51;13,73
421;original;Base Game;52;56;13,56
422;original;Base Game;51;60;15,4
423;original;Base Game;55;42;16,21
424;original;Base Game;44;58;18,38
425;original;Base Game;55;51;13,63
426;original;Base Game;52;51;15,69
427;original;Base Game;53;59;16,29
428;original;Base Game;53;53;15,35
429;original;Base Game;47;70;17,45
430;original;Base Game;50;48;16,57
431;original;Base Game;61;59;13,64
432;original;Base Game;48;60;14,75
433;original;Base Game;53;54;15,65
434;original;Base Game;52;53;13,31
435;original;Base Game;55;73;15,79
436;original;Base Game;54;46;15,72
437;original;Base Game;53;55;15,53
438;original;Base Game;53;50;15,12
439;original;Base Game;52;61;16,06
440;original;Base Game;53;54;14,59
441;original;Base Game;55;53;15,47
442;original;Base Game;54;63;14,94
443;original;Base Game;52;54;14,13
444;original;Base Game;53;43;14,59
445;original;Base Game;51;60;15,2
446;original;Base Game;54;56;15,56
447;original;Base Game;52;61;14,94
448;original;Base Game;51;52;15,27
449;original;Base Game;52;48;16,19
450;original;Base Game;53;40;13,71
451;original;Base Game;50;53;15,36
452;original;Base Game;56;42;14,05
453;original;Base Game;47;49;15,73
454;original;Base Game;56;43;12,8
455;original;Base Game;54;52;16,33
